lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.076409,-34.895576,-61.5333333333333,-40.9666666666667,-74.4333333333333,-53.9,-74.6333333333334,-83.9
-8.076408,-34.899731,-71.75,-61.4,-73.25,-79.3,-80.15,-86.4
-8.076408,-34.899723,-65,-56.5333333333333,-69.2666666666667,-76.4333333333333,-79.9333333333333,-85.6
-8.076407,-34.895988,-70.9,-51.85,-77.55,-65.7,-76.25,-78.95
-8.076403,-34.895988,-66.5,-50.9666666666667,-76.3333333333333,-67.1,-73,-84.8666666666666
-8.0764,-34.895985,-68.65,-50.6,-74.95,-68.3666666666667,-73.5833333333333,-83.7666666666667
-8.076396,-34.895985,-59.5666666666667,-59.2333333333333,-71.1333333333333,-69.1333333333333,-74.5,-78.7666666666667
-8.076395,-34.899727,-67.5,-52.3666666666667,-67.9,-78.3333333333333,-78.7333333333333,-83.6
-8.076395,-34.895554,-58.05,-39.225,-76.925,-56.475,-71.475,-79.625
-8.076391,-34.895985,-65.02,-48.79,-74.38,-68.03,-73.87,-76.49
-8.076391,-34.895878,-59.9,-36.6666666666667,-72.1,-66.0333333333333,-74.1666666666667,-81.1333333333334
-8.076389,-34.895988,-66.975,-46.975,-74.375,-65.55,-72.675,-78.85
-8.076383,-34.899742,-69.1666666666667,-55.8,-65.9,-75,-84.7666666666667,-86.3
-8.076381,-34.895958,-63.1333333333333,-50.9333333333333,-76.2,-74.0666666666667,-74.5666666666667,-84.1
-8.076381,-34.895527,-57.5333333333333,-35.2333333333333,-79.2333333333333,-57.8,-75.0666666666667,-83.5333333333333
-8.07638,-34.899734,-75.0666666666667,-57.3333333333333,-71.9333333333333,-80.3,-85.5333333333333,-85.4666666666667
-8.076376,-34.895996,-66.7333333333333,-48.5333333333333,-74.3333333333333,-65.9333333333333,-72.1333333333333,-76.4
-8.076365,-34.895493,-61.1333333333333,-39.1666666666667,-79.2333333333333,-57.0666666666667,-76.9,-79.4
-8.076364,-34.899738,-69.9666666666667,-55.5666666666667,-80.4666666666667,-78.5333333333333,-85.5333333333333,-86.5333333333333
-8.076363,-34.895794,-69.3666666666667,-36.0333333333333,-76.1,-61.9666666666667,-70.5,-83.7666666666667
-8.076347,-34.895451,-57.8,-46.05,-73.925,-56.9,-73.825,-80.225
-8.076345,-34.899746,-70.45,-68.5,-70,-79.25,-85.55,-87
-8.076343,-34.896008,-61.4333333333333,-56.0666666666667,-74.9,-65.4,-73.0333333333333,-74.6666666666667
-8.07634,-34.895985,-72.2333333333333,-57.8666666666667,-81.0333333333333,-72.5333333333333,-75.0333333333333,-84.9333333333333
-8.076337,-34.895718,-58.5,-44.95,-76.5,-59.45,-69.25,-86.25
-8.076333,-34.895481,-60.4,-36.3,-78.5333333333333,-60.0666666666667,-72.2,-86.4
-8.076331,-34.899754,-73.0666666666667,-53.9333333333333,-69.3,-76.1666666666667,-83.4666666666667,-86.8
-8.076324,-34.899754,-72.1333333333333,-61.6,-71.0333333333333,-75.5666666666667,-82.0666666666667,-89.6666666666667
-8.076315,-34.895649,-59.3666666666667,-47.0666666666667,-77.9666666666667,-56.0333333333333,-72.0333333333333,-81.8666666666666
-8.076309,-34.899765,-71.9,-55.4666666666667,-69.2333333333333,-78.6,-85.2666666666667,-84
-8.076303,-34.899761,-73.4,-51.5666666666667,-72.9666666666667,-74.9666666666667,-85.5333333333333,-85
-8.076298,-34.895329,-64.6,-53.4,-75.5,-58.1,-74.45,-83.1
-8.076295,-34.895588,-62.7,-35.5,-75.1,-60.5,-70.0333333333333,-82.8666666666666
-8.076294,-34.895363,-57.8,-45.8333333333333,-76.3666666666667,-57.5,-76.2,-80.1333333333333
-8.076291,-34.896027,-60.2666666666667,-55.2,-72.9666666666667,-70.9666666666667,-70.8333333333333,-76.7666666666667
-8.076291,-34.896008,-68.0333333333333,-56.1666666666667,-79.4333333333333,-73.3,-78.8333333333333,-83.5
-8.07628,-34.899769,-67.8333333333333,-55.8,-67.8666666666667,-74.0666666666667,-84.6666666666667,-87.8
